2026-09-06T04:45:02Z p1_start  n_tasks=30 k=16 conc=6 phase=p1_map
2026-09-06T07:34:35Z rollout_done  iteration_id=baseline-0028 attempt=0 candidate_id=baseline rollout=12 seed=28 duration_ms=132079 success=True reward=1.0 steps=50 error=None
2026-09-06T07:34:44Z rollout_done  iteration_id=baseline-0028 attempt=0 candidate_id=baseline rollout=13 seed=28 duration_ms=136298 success=False reward=0.0 steps=50 error=None
2026-09-06T07:34:49Z rollout_done  iteration_id=baseline-0028 attempt=0 candidate_id=baseline rollout=14 seed=28 duration_ms=137971 success=False reward=0.0 steps=50 error=None
2026-09-06T07:34:54Z rollout_done  iteration_id=baseline-0028 attempt=0 candidate_id=baseline rollout=15 seed=28 duration_ms=139449 success=True reward=1.0 steps=50 error=None
2026-09-06T07:34:54Z p1_task_done  task_idx=28 task_id=28 k=16 sr=0.5 n_errors=0 wall_s=460.4
2026-09-06T07:35:31Z rollout_done  iteration_id=baseline-0029 attempt=0 candidate_id=baseline rollout=1 seed=29 duration_ms=37521 success=True reward=1.0 steps=8 error=None
2026-09-06T07:35:32Z rollout_done  iteration_id=baseline-0029 attempt=0 candidate_id=baseline rollout=3 seed=29 duration_ms=38047 success=True reward=1.0 steps=8 error=None
2026-09-06T07:35:32Z rollout_done  iteration_id=baseline-0029 attempt=0 candidate_id=baseline rollout=2 seed=29 duration_ms=38226 success=True reward=1.0 steps=8 error=None
2026-09-06T07:35:32Z rollout_done  iteration_id=baseline-0029 attempt=0 candidate_id=baseline rollout=4 seed=29 duration_ms=38774 success=True reward=1.0 steps=8 error=None
2026-09-06T07:35:33Z rollout_done  iteration_id=baseline-0029 attempt=0 candidate_id=baseline rollout=5 seed=29 duration_ms=39206 success=True reward=1.0 steps=8 error=None
2026-09-06T07:35:33Z rollout_done  iteration_id=baseline-0029 attempt=0 candidate_id=baseline rollout=0 seed=29 duration_ms=39861 success=True reward=1.0 steps=8 error=None
2026-09-06T07:36:07Z rollout_done  iteration_id=baseline-0029 attempt=0 candidate_id=baseline rollout=6 seed=29 duration_ms=35446 success=True reward=1.0 steps=8 error=None
2026-09-06T07:36:08Z rollout_done  iteration_id=baseline-0029 attempt=0 candidate_id=baseline rollout=7 seed=29 duration_ms=35978 success=True reward=1.0 steps=8 error=None
2026-09-06T07:36:08Z rollout_done  iteration_id=baseline-0029 attempt=0 candidate_id=baseline rollout=8 seed=29 duration_ms=35812 success=True reward=1.0 steps=8 error=None
2026-09-06T07:36:08Z rollout_done  iteration_id=baseline-0029 attempt=0 candidate_id=baseline rollout=9 seed=29 duration_ms=35340 success=True reward=1.0 steps=8 error=None
2026-09-06T07:36:10Z rollout_done  iteration_id=baseline-0029 attempt=0 candidate_id=baseline rollout=11 seed=29 duration_ms=36396 success=True reward=1.0 steps=8 error=None
2026-09-06T07:36:10Z rollout_done  iteration_id=baseline-0029 attempt=0 candidate_id=baseline rollout=10 seed=29 duration_ms=37354 success=True reward=1.0 steps=8 error=None
2026-09-06T07:36:41Z rollout_done  iteration_id=baseline-0029 attempt=0 candidate_id=baseline rollout=12 seed=29 duration_ms=34226 success=True reward=1.0 steps=8 error=None
2026-09-06T07:36:42Z rollout_done  iteration_id=baseline-0029 attempt=0 candidate_id=baseline rollout=13 seed=29 duration_ms=34145 success=True reward=1.0 steps=8 error=None
2026-09-06T07:36:42Z rollout_done  iteration_id=baseline-0029 attempt=0 candidate_id=baseline rollout=14 seed=29 duration_ms=34140 success=True reward=1.0 steps=8 error=None
2026-09-06T07:36:42Z rollout_done  iteration_id=baseline-0029 attempt=0 candidate_id=baseline rollout=15 seed=29 duration_ms=34723 success=True reward=1.0 steps=8 error=None
2026-09-06T07:36:42Z p1_task_done  task_idx=29 task_id=29 k=16 sr=1.0 n_errors=0 wall_s=108.9
2026-09-06T07:36:42Z p1_end  n_traces=480
